Keyword,Assigned Category
Diet Lemon Tea,Other diet drinks
Enhanced Water,Enhanced water
All-Purpose Flour,Baking Products
Cracker Jack,Candy not containing chocolate
Nonfat Dry Milk,"Milk, nonfat"
Chocolate Covered Pretzels,Pretzels/snack mix
Orangeade,Fruit drinks
Caramel Candy,Candy not containing chocolate
Candy Bars,Candy containing chocolate
Vitamin Water,Enhanced water
Pumpkin Bread Kit,"Biscuits, muffins, quick breads"
Jamun Vinegar,Other fruit juice
Protein Chips,"Tortilla, corn, other chips"
Fruit Flavored Snacks,Other fruits and fruit salads
Sorrel Ginger Drink,Other fruit juice
Rice Seasoning Mix,Rice mixed dishes
Thickened Iced Tea,Tea
Protein Pretzel Twists,Pretzels/snack mix
Coffee Substitute,Milk substitutes
Salsa Ranchera,Other Mexican mixed dishes
Candy Assortment,Candy not containing chocolate
Snack Care Package,Pretzels/snack mix
Balsamic Glaze,Other condiments
Vegetable Tray,Vegetable dishes
Bar Mix,Other dairy drinks
Chocolate Pretzels,Pretzels/snack mix
Hominy,"Beans, peas, legumes"
Vitaminwater,Enhanced water
Gatorade Zero,Diet sport and energy drinks
White Chocolate Pretzels,Pretzels/snack mix
Corn Cake Mix,Baking Products
Funnel Cake Mix,Baking Products
Cookie and Cracker Variety Pack,Cookies and brownies
Snack Mix Variety Pack,Pretzels/snack mix
Zero Calorie Sports Drink,Diet sport and energy drinks
Zero Sugar Sweet Tea,Tea
Chicken Vienna Sausages,Sausages
Water Drink Mix,Fruit drinks
Flavored Candy,Candy not containing chocolate
Lemon Iced Tea Mix,Tea
Coconut Flakes,Nuts and seeds
Sweet Chili Sauce,Soy-based condiments
Beef Pasta Meal,"Pasta mixed dishes, excludes macaroni and cheese"
Malta,Not included in a food category
Stroganoff,"Beef, excludes ground"
Sparkling Lemonade,Fruit drinks
Electrolyte Water Enhancer,Enhanced water
Pineapple Soda,Soft drinks
Peanut Drink,Milk substitutes
Meat Tenderizer,Seasonings
Raspberry Iced Tea,Fruit drinks
Fruit and Vegetable Blend,Other fruits and fruit salads
Pretzel Crackers,Pretzels/snack mix
Peach Tea,Tea
Spice Cake Mix,Baking Products
Snack Puffs,Pretzels/snack mix
Caramel Lollipops,Candy not containing chocolate
Rice Candy,Candy not containing chocolate
Pita Thins,Turnovers and other grain-based items
Oatmilk Latte,Milk substitutes
Rice Crisps,Pretzels/snack mix
Fish Seasoning,Fish
Diet Iced Tea Mix,Other diet drinks
Coffee Thickener,Cream and cream substitutes
Toddler Food,Baby food: mixtures
Caffeinated Water,Enhanced water
Zero Sugar Juice,Other fruit juice
Sparkling Juice,Other fruit juice
Diet Iced Tea,Other diet drinks
Chicken Snack Sticks,Sausages
Cacao Nibs,Nuts and seeds
Green Tea Mix,Tea
Blackberry Lemonade,Fruit drinks
Keto Baking Mix,Baking Products
Ginger Paste,Spices
Tootsie Roll,Candy not containing chocolate
Chocolate Covered Macadamia Nuts,Nuts and seeds
Sports Drink,Sport and energy drinks
Peanut Caramel Candy Bars,Candy not containing chocolate
Veggie Straws,Vegetable dishes
Mexican Soda,Soft drinks
Half & Half Iced Tea Lemonade,Fruit drinks
Snack Pack,Pudding
Diet Green Tea,Tea
Matcha Green Tea,Tea
Pie Crust Mix,Cakes and pies
Fruit Pops,"Gelatins, ices, sorbets"
Whole Kernel Corn,Corn
Energy Drink Mix,Sport and energy drinks
Lemon Iced Tea,Tea
Peanut and Caramel Candy,Candy not containing chocolate
Puffed Snacks,Pretzels/snack mix
Cheese Dip & Bread Sticks,Cheese
Kickstart Soda,Sport and energy drinks
Taco Seasoning Mix,Seasonings
Toddler Meal,Baby food: mixtures
Fruit and Vegetable Juice,Other fruit juice
Energy Coffee Beverage,Sport and energy drinks
Easter Candy,Candy not containing chocolate
Lime Juice,Other fruit juice
Chili Pods,Spices
Baby Food,Baby food: mixtures
Workout Recovery Drink,Sport and energy drinks
Chickpea Puffs,"Beans, peas, legumes"
Peach Iced Tea Mix,Fruit drinks
Orange Drink Mix,Fruit drinks
Caramel Creams,Candy not containing chocolate
Peach Iced Tea Drink Mix,Fruit drinks
Zero Sugar Peach Tea,Tea
Caramel Apple Wrap,Other fruits and fruit salads
Gluten-Free Flatbread,Turnovers and other grain-based items
Sugar-Free Gummies,Candy not containing chocolate
Iced Green Tea,Tea
Sparkling Cider,Other fruit juice
Peanut Bar,Nuts and seeds
Mango Drink,Fruit drinks
Hydration Drink Mix,Sport and energy drinks
Reduced Sugar Iced Tea,Tea
Peanut Candy,Candy not containing chocolate
Yellow Rice,Rice
Protein Iced Coffee,Other dairy drinks
Zero Calorie Ketchup,Tomato-based condiments
Oat Milk Cold Brew,Milk substitutes
Raspberry Iced Tea Mix,Fruit drinks
Apple Chips,Dried fruits
Skim Milk Powder,"Milk, nonfat"
Fig Glaze,Dips
Fruit Snacks,Other fruits and fruit salads
Chocolate Rice Cakes,Pretzels/snack mix
Aguas Frescas,Other fruit juice
Agave,Milk substitutes
Chai Tea Latte Mix,"Flavored milk, whole"
Yakisoba,Lo/chow mein
Cranberry Watermelon Juice Drink,Fruit drinks
Mocha Coffee Energy Drink,Sport and energy drinks
Sparkling Tea,Tea
Cheese Flavored Snack Chips,"Tortilla, corn, other chips"
Puffcorn,Popcorn
Strawberry Lemonade,Fruit drinks
Flamin' Hot Snacks,Potato chips
Passion Fruit Juice Drink,Other fruit juice
Instant Stir Fry Noodles,Soy-based sauce mixtures
Cheese Curls,Cheese
Cranberry Raspberry Juice Drink,Fruit drinks
Goat Milk,"Milk, whole"
Cranberry Pineapple Juice Drink,Fruit drinks
Udon Noodles,Noodles
K-Cups,Other dairy drinks
Fruit Punch,Fruit drinks
Peanut Butter,Peanut butter and jelly sandwiches
Sweet Potato Chips,Potato chips
Birria Seasoning,Seasonings
Boba Pearls,Other sandwiches (single code)
Flavored Beverage,"Flavored milk, whole"
Seafood Seasoning,Seasonings
Coconut Vinegar,Other condiments
Carne Asada Seasoning,Seasonings
Cheese Puffs,Cheese
Powerade Zero,Diet sport and energy drinks
Toffee Bits,Candy not containing chocolate
Strawberry Milk,"Flavored milk, whole"
Cheddar Snack Mix,Pretzels/snack mix
Dark Chocolate Pretzels,Pretzels/snack mix
Cajun Seasoning,Seasonings
Banana Ketchup,Tomato-based condiments
Gatorade G2,Sport and energy drinks
Chocolate Covered Popcorn,Popcorn
Sparkling Grape Juice,Other fruit juice
Decaf Iced Tea Mix,Tea
Aloe Vera Juice,Other fruit juice
Kosher Salt,Seasonings
Diet Ginger Beer,Other diet drinks
Sesame Sticks,Turnovers and other grain-based items
Liquid Drink Enhancer,Other dairy drinks
Electrolyte Beverage,Sport and energy drinks
Jalapeño Cilantro Salsa,Other Mexican mixed dishes
Soda Variety Pack,Soft drinks
Lemonade Iced Tea,Fruit drinks
Sazón Tropical,Seasonings
Rice Cakes,Pretzels/snack mix
Sugar-Free Chocolate Candy,Candy containing chocolate
Assorted Candy,Candy not containing chocolate
Pork Ribs,Pork
Ground Turkey,Turkey
White Eggs,Eggs
Diet Soda,Diet soft drinks
Kombucha,Tea
Microwave Popcorn,Popcorn
Kids Yogurt Pouches,"Yogurt, regular"
Yogurt Smoothies,Smoothies
Sparkling Probiotic,Nutritional beverages
Hot Dog Buns,Rolls and buns
Smoked Sausage,Sausages
Turkey Sausage Sticks,Sausages
Purified Drinking Water,Bottled water
Candy Variety Mix,Candy not containing chocolate
Breakfast Sausage,Sausages
Ketchup,Tomato-based condiments
Chicken Drumsticks,"Chicken, whole pieces"
Classic Franks,Frankfurters
Strawberry Syrup,Syrups
Baby Bella Mushrooms,Other vegetables and combinations
Breakfast Cup,Egg/breakfast sandwiches
Licorice Candy,Candy not containing chocolate
Chocolate Syrup,Syrups
Turkey Breast,Deli and cured meat sandwiches
Gluten-Free Potato Stix,Pretzels/snack mix
Coca-Cola,Soft drinks
Candy Variety Bag,Candy not containing chocolate
Sprite,Soft drinks
Ground Beef,Ground beef
Hickory Smoked Bacon,Bacon
Tootsie Pops,Candy containing chocolate
Halloween Candy Bars,Candy not containing chocolate
Shelf-Stable Whole Milk,"Milk, whole"
Fun Size Candy Bars,Candy containing chocolate
Strawberry Licorice Candy,Candy not containing chocolate
Nesquik Chocolate Milk,"Flavored milk, lowfat"
Candy Pouches,Candy not containing chocolate
Lactose-Free Milk,Milk substitutes
2% Milk,"Milk, reduced fat"
Popcorn Balls,Popcorn
Whole Vitamin D Milk,"Milk, whole"
Hard Candy,Candy not containing chocolate
Almond Joy Candy Bars,Candy containing chocolate
Lollipops Candy,Candy not containing chocolate
Low Carb Bread,Yeast breads
1% Milk,"Milk, lowfat"
Kit Kat Candy Bars,Candy containing chocolate
Organic Bread Loaf,Yeast breads
Breath Mint Candy,Candy not containing chocolate
Fat Free Milk,"Milk, nonfat"
Pina Colada Mix,Syrups
Tootsie Roll Pops,Candy not containing chocolate
Brioche Hamburger Buns,Rolls and buns
White Bread,Yeast breads
Lollipops,Candy not containing chocolate
Vitamin D Milk,"Milk, whole"
Marshmallow Snack Bars,Cakes and pies
Breath Mints,Candy not containing chocolate
Hamburger Buns,Rolls and buns
1% Chocolate Milk,"Flavored milk, lowfat"
Candy Belts,Candy not containing chocolate
Sparkling Grapefruit,Flavored or carbonated water
Halloween Candy Mix,Candy not containing chocolate
Honey Wheat Bread,Yeast breads
Organic Bread,Yeast breads
Breath Mints Candy,Candy not containing chocolate
Skim Milk,"Milk, nonfat"
Bubblegum,Candy not containing chocolate
Pecan Pie,Cakes and pies
Sugar-Free Gum,Candy not containing chocolate
Fun Size Chocolate Candy,Candy containing chocolate
Swiss Rolls,Cakes and pies
Twix Candy Bars,Candy containing chocolate
Bavarian Creme Filled Doughnuts,"Doughnuts, sweet rolls, pastries"
Assorted Mini Halloween Candy,Candy containing chocolate
Sugar-Free Chewing Gum,Candy not containing chocolate
Peanut Brittle Bites,Candy not containing chocolate
Italian Bread,Yeast breads
Kit Kat Candy,Candy containing chocolate
Bubble Gum,Candy not containing chocolate
Skittles Candy,Candy not containing chocolate
Apple Fritters,"Doughnuts, sweet rolls, pastries"
Mints,Candy not containing chocolate
Yoo-hoo Chocolate Milk,"Flavored milk, lowfat"
Plain Bagels,Bagels and English muffins
Chewing Gum,Candy not containing chocolate
Organic Vitamin D Milk,"Milk, whole"
Junior Mints,Candy containing chocolate
Assorted Chocolate Candy,Candy containing chocolate
Powdered Donuts,"Doughnuts, sweet rolls, pastries"
Almondmilk,Milk substitutes
Powdered Sugar Donuts,"Doughnuts, sweet rolls, pastries"
a2 Milk,"Milk, reduced fat"
Mint Dispenser,Candy not containing chocolate
Blueberry Muffins,"Biscuits, muffins, quick breads"
Organic 2% Milk,"Milk, reduced fat"
Organic Whole Milk,"Milk, whole"
Orange Mints,Candy not containing chocolate
Brownie Bites,Cookies and brownies
Chocolate Frosted Mini Donuts,"Doughnuts, sweet rolls, pastries"
Toddler Powdered Milk,Milk substitutes
Cinnamon Bread,Yeast breads
1% Buttermilk,"Milk, lowfat"
Flour Tortillas,Tortillas
Sugar-Free Mints,Candy not containing chocolate
Cinnamon Raisin Bagels,Bagels and English muffins
2% High Vitamin D Milk,"Milk, reduced fat"
Cinnamon Rolls,"Doughnuts, sweet rolls, pastries"
Keto Fat Cups,Nutrition bars
SOUR PATCH KIDS Candy,Candy not containing chocolate
Gummy Bears,Candy not containing chocolate
Fruit Chews,Candy not containing chocolate
Gummy Candy,Candy not containing chocolate
Milk Chocolate Candy Bar,Candy containing chocolate
Blueberry Oat Muffin,"Biscuits, muffins, quick breads"
Chocolate Candy Truffles,Candy containing chocolate
Sour Gummy Worms,Candy not containing chocolate
Milk Chocolate Candy,Candy containing chocolate
Gummy Clusters,Candy not containing chocolate
Luxury Chocolate Gift Box,Candy containing chocolate
Spinach Egg White Frittata,Vegetable dishes
Dark Chocolate Bar,Candy containing chocolate
Dark Chocolate Candy,Candy containing chocolate
Electrolyte Powder Drink Mix,Nutritional beverages
Sweetart Ropes,Candy not containing chocolate
Milk Chocolate Hazelnut,Candy containing chocolate
Milk Bar,Other dairy drinks
Peanut Milk Chocolate Candy,Candy containing chocolate
Fruit Chews Candy,Candy not containing chocolate
Dark Chocolate Squares,Candy containing chocolate
Laffy Taffy Candy,Candy not containing chocolate
Mounds Candy,Candy containing chocolate
Payday Candy,Candy not containing chocolate
Swedish Fish Candy,Candy not containing chocolate
Caramello Candy,Candy containing chocolate
Assorted Chocolate Squares,Candy containing chocolate
Skittles,Candy not containing chocolate
White Chocolate Candy Truffles,Candy containing chocolate
White Chocolate Truffles,Candy containing chocolate
Milk Chocolate & Caramel Candy,Candy containing chocolate
Almond Joy,Candy containing chocolate
Dark Chocolate Sea Salt Caramel Squares,Candy containing chocolate
Gummy Worms,Candy not containing chocolate
Dark Chocolate Candy Truffles,Candy containing chocolate
Cookies 'N' Creme Bar,Candy containing chocolate
Dark Chocolate Truffles,Candy containing chocolate
Milk Chocolate Squares,Candy containing chocolate
Tootsie Roll Midgees,Candy containing chocolate
Turkey & Cheese Snack Box,Deli and cured meat sandwiches
Ham and Cheese Snack Box,Cold cuts
Sparkling Water,Flavored or carbonated water
Sugar-Free Candy,Candy not containing chocolate
Bottled Water,Bottled water
Milk Chocolate Hazelnut Candy,Candy containing chocolate
Dark Chocolate & Almond Candy,Candy containing chocolate
Cheese and Nut Snack,Cheese
Essentia Water,Bottled water
Milk Chocolate Melting Wafers,Candy containing chocolate
Lunchables,Deli and cured meat sandwiches
Distilled Water,Bottled water
Spring Water,Bottled water
Cracker Stackers,Deli and cured meat sandwiches
Sparkling Water Variety Pack,Flavored or carbonated water
Turkey & Cheddar Snack Pack,Deli and cured meat sandwiches
Lunchables Pizza,Pizza
Almond Joy Candy,Candy containing chocolate
Cheese and Crackers Snack Kit,"Crackers, excludes saltines"
Black Cherry Sparkling Water,Flavored or carbonated water
Drink Enhancer,Flavored or carbonated water
Reese's Pieces,Candy not containing chocolate
Cheddar Cheese Snack,Cheese
Energy Drink Enhancer,Enhanced water
LunchMakers,Deli and cured meat sandwiches
Cheese Dip & Breadsticks,Dips
Salami and Cheese Snack Kit,Cured meats
Water Beverage,Flavored or carbonated water
Meat & Cheese Snack Plate,Deli and cured meat sandwiches
Seltzer Water,Flavored or carbonated water
Sports Drink Variety Pack,Sport and energy drinks
Nachos,Nachos
Ham and Cheese Snack Plate,Deli and cured meat sandwiches
Artesian Water,Bottled water
Tropical Punch Soft Drink Mix,Flavored or carbonated water
Turkey & Asiago Cheese Snack Plate,Deli and cured meat sandwiches
Hazelnut Spread with Breadsticks,Nutritional beverages
Sugar-Free Drink Mix,Other diet drinks
Protein Snack Pack,Nutrition bars
Sugar-Free Lemonade Drink Mix,Other diet drinks
Almonds & Cheese Snack Pack,Nuts and seeds
Bologna and Cheese Snack,Cold cuts
Strawberry Lemonade Drink Mix,Flavored or carbonated water
Purified Water,Bottled water
Java Monster,Diet sport and energy drinks
Energy Drink,Sport and energy drinks
Sugar-Free Energy Drink,Diet sport and energy drinks
Sweet Tea Drink Enhancer,Enhanced water
Sugar-Free Energy Drink Mix,Diet sport and energy drinks
Peach Sparkling Water,Flavored or carbonated water
Hot Cocoa Mix,Other dairy drinks
Unsweetened Green Tea,Tea
No Sugar Added Hot Cocoa Mix,Other diet drinks
Cherry Soft Drink Mix,Fruit drinks
Unsweetened Black Iced Tea,Tea
Vanilla Coffee Energy Drink,Diet sport and energy drinks
Unsweetened Iced Tea,Tea
Hot Chocolate Mix,Other dairy drinks
Southern Sweet Tea,Tea
Unsweet Iced Tea,Tea
Lemon Flavored Drink,Flavored or carbonated water
Hot Cocoa Drink Mix,Other diet drinks
Iced Sweet Tea,Tea
No Sugar Added Chocolate Powder,Other diet drinks
Fruit Punch Drink Mix,Other diet drinks
Ground Coffee,Coffee
Lemonade Drink Mix,Other diet drinks
Coffee Pods,Coffee
Chocolate Powder Drink Mix,Other diet drinks
Coffee Drink,Coffee
Espresso Coffee,Coffee
Strawberry Drink Mix,"Flavored milk, nonfat"
Colombian Coffee,Coffee
Cocoa Powder,Baking Products
Sweet Tea Drink Mix,Other diet drinks
Iced Coffee,Coffee
Chocolate Malt Powder,Nutrition bars
Hot Chocolate Tablets,Other Mexican mixed dishes
Meal Replacement Shake,Milk shakes
Iced Tea Drink Mix,Other diet drinks
Nutrition Shake,Milk shakes
Marshmallow Hot Cocoa,Other diet drinks
Powdered Whole Milk,Milk substitutes
Keurig Coffee Pods,Coffee
Instant Coffee,Coffee
Cinnamon Dolce Coffee Pods,Coffee
Caramel Iced Coffee,Coffee
K-Cup Pods,Coffee
Chilled Coffee Drink,Other dairy drinks
Mocha Iced Coffee,Coffee
Malted Milk,Milk shakes
Dark Roast Coffee,Coffee
Ground Coffee Pods,Coffee
Iced Coffee Drink,Other dairy drinks
Electrolyte Powder Packets,Nutrition bars
Mexican Hot Chocolate Mix,Other Mexican mixed dishes
Whole Bean Coffee,Coffee
Hazelnut Coffee,Coffee
Cinnamon Roll Flavored Coffee,Coffee
French Vanilla Coffee,Coffee
Half Caff Coffee,Coffee
Decaf Ground Coffee,Coffee
Light Roast Coffee Pods,Coffee
Coffee Bags,Coffee
French Vanilla Cafe Mix,Coffee
Instant Coffee Crystals,Coffee
Cafe Style Beverage Mix,Coffee
Pumpkin Spice Cold Brew Coffee Concentrate,Coffee
Coconut Mocha Coffee Pods,Coffee
Decaf Coffee,Coffee
Hazelnut Cafe Beverage Mix,Coffee
Iced Coffee Drink Mix,Coffee
Coffee Variety Pack,Coffee
Toasty Hazelnut Coffee,Coffee
Vanilla Latte,Coffee
Cold Brew Coffee,Coffee
White Chocolate Coffee Pods,Coffee
Medium Roast Coffee,Coffee
Buttery Caramel Coffee,Coffee
Decaffeinated Coffee,Coffee
Dark Roast Coffee Pods,Coffee
Light Roast Coffee,Coffee
Breakfast Blend Coffee,Coffee
Decaf Coffee Pods,Coffee
1/2 Caff Coffee,Coffee
Dark Coffee,Coffee
Caramel Vanilla Cream Coffee Pods,Coffee
Iced Coffee Pods,Coffee
Cinnamon Sugar Cookie Coffee,Coffee
Pecan Flavored Coffee,Coffee
Coffee Creamer,Cream and cream substitutes
Coffee Cake Muffin Iced Coffee,Coffee
Salsa,Other sauces
Cold Brew Coffee Concentrate,Coffee
Habanero Salsa,Dips
Salsa Verde,Other sauces
Beef Jerky,Cured meats
Butter Chicken Simmer Sauce,Gravies
